#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.37 aq:21.56 tex:284639 mv:112200 misc:6393 imb:8160 pmb:0 smb:0 d:- ref:;
in:126 out:123 type:P dur:2 cpbdur:2 q:37.58 aq:33.89 tex:421427 mv:69938 misc:2867 imb:3390 pmb:4036 smb:734 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:37.79 aq:34.51 tex:131398 mv:52388 misc:5998 imb:402 pmb:4851 smb:2907 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:37.90 aq:35.44 tex:57320 mv:33078 misc:7170 imb:140 pmb:3839 smb:4181 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:37.69 aq:35.10 tex:68893 mv:35483 misc:7088 imb:202 pmb:3954 smb:4004 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:37.15 aq:33.45 tex:482750 mv:71794 misc:2376 imb:3493 pmb:4158 smb:509 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:37.36 aq:34.16 tex:155150 mv:56594 misc:5832 imb:472 pmb:5180 smb:2508 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:37.47 aq:34.90 tex:76522 mv:37038 misc:6976 imb:222 pmb:4161 smb:3777 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:37.26 aq:34.69 tex:78746 mv:36969 misc:7205 imb:175 pmb:4411 smb:3574 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:37.19 aq:33.37 tex:499771 mv:70917 misc:2560 imb:3528 pmb:4025 smb:607 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:37.17 aq:33.99 tex:171073 mv:58848 misc:5487 imb:532 pmb:5209 smb:2419 d:- ref:0 ;
